X,Y,STATEFP,COUNTYFP,COUNTYNS,AFFGEOID,GEOID,NAME,NAMELSAD,STUSPS,STATE_NAME,LSAD,ALAND,AWATER
-85.8394886503589,31.0978439934231,01,061,00161556,0500000US01061,01061,Geneva,Geneva County,AL,Alabama,06,1487908432,11567409
-102.425190864285,40.1707294996926,08,125,00198178,0500000US08125,08125,Yuma,Yuma County,CO,Colorado,06,6123763559,11134665
-89.6619344452659,42.4038064842007,17,177,01785076,0500000US17177,17177,Stephenson,Stephenson County,IL,Illinois,06,1461392061,1350223
-88.7024771295467,31.6597972399571,28,153,00695797,0500000US28153,28153,Wayne,Wayne County,MS,Mississippi,06,2099745602,7255476
-74.9402983281164,40.8674347689049,34,041,00882237,0500000US34041,34041,Warren,Warren County,NJ,New Jersey,06,923435921,15822933
-96.8417378220303,45.2103619674244,46,051,01265782,0500000US46051,46051,Grant,Grant County,SD,South Dakota,06,1764937243,15765681
-77.1116118147209,38.8844567155808,51,013,01480097,0500000US51013,51013,Arlington,Arlington County,VA,Virginia,06,67332990,273562
-89.0013996202175,37.0450087550487,21,007,00516850,0500000US21007,21007,Ballard,Ballard County,KY,Kentucky,06,639538865,70070117
-77.0087214937328,36.3881463191071,37,091,01026127,0500000US37091,37091,Hertford,Hertford County,NC,North Carolina,06,914689325,18737418
-84.4532009000255,34.2861249926373,13,057,01685718,0500000US13057,13057,Cherokee,Cherokee County,GA,Georgia,06,1090597331,34427734
-84.8432402343093,34.2217620943873,13,015,00351604,0500000US13015,13015,Bartow,Bartow County,GA,Georgia,06,1188568883,27370205
-89.3145492147181,41.1907820010882,17,155,00424279,0500000US17155,17155,Putnam,Putnam County,IL,Illinois,06,414649315,31195045
-94.471111956261,41.3308819998787,19,001,00465190,0500000US19001,19001,Adair,Adair County,IA,Iowa,06,1474404201,2597996
-81.5059571145987,39.7973385342061,39,121,01074073,0500000US39121,39121,Noble,Noble County,OH,Ohio,06,1030846430,16984489
-81.9219629767061,40.512284024584,39,075,01074050,0500000US39075,39075,Holmes,Holmes County,OH,Ohio,06,1094559493,3694365
-93.3270227944449,45.6447144941326,27,059,00659475,0500000US27059,27059,Isanti,Isanti County,MN,Minnesota,06,1128608895,41203099
-86.2292993603462,39.2096964929897,18,013,00451684,0500000US18013,18013,Brown,Brown County,IN,Indiana,06,808043849,12025990
-94.4087932544598,40.2604399902358,29,075,00758492,0500000US29075,29075,Gentry,Gentry County,MO,Missouri,06,1272776755,762384
-98.5021531484102,40.9476369988412,31,079,00835861,0500000US31079,31079,Hall,Hall County,NE,Nebraska,06,1415143418,14903733
-98.2779527223936,44.3705624930271,46,005,01266986,0500000US46005,46005,Beadle,Beadle County,SD,South Dakota,06,3260011987,15834230
-98.6024492888202,31.9744767403752,48,093,01383832,0500000US48093,48093,Comanche,Comanche County,TX,Texas,06,2428768926,25719485
-80.9282692623508,36.6566187109339,51,640,01498426,0500000US51640,51640,Galax,Galax city,VA,Virginia,25,21332077,105290
-66.5828522208548,18.2321208356435,72,073,01804517,0500000US72073,72073,Jayuya,Jayuya Municipio,PR,Puerto Rico,13,115340542,3091
-80.525184296833,37.5609926026588,54,063,01557702,0500000US54063,54063,Monroe,Monroe County,WV,West Virginia,06,1224426771,2297599
-101.354525397843,35.8402714992256,48,233,01383902,0500000US48233,48233,Hutchinson,Hutchinson County,TX,Texas,06,2298408153,19507502
-94.6142538270426,43.9780569992017,27,165,00659527,0500000US27165,27165,Watonwan,Watonwan County,MN,Minnesota,06,1126508687,12387832
-99.9387002628833,45.0626717510527,46,107,01265761,0500000US46107,46107,Potter,Potter County,SD,South Dakota,06,2230336533,97172021
-89.1935167289464,34.7067767193699,28,009,00695729,0500000US28009,28009,Benton,Benton County,MS,Mississippi,06,1053131418,5279184
-87.4919034952397,36.8039866958375,21,047,00516870,0500000US21047,21047,Christian,Christian County,KY,Kentucky,06,1858342356,16919159
-101.746684037807,41.8759805033879,31,075,00835859,0500000US31075,31075,Grant,Grant County,NE,Nebraska,06,2012381803,16500663
-72.3191101556071,41.7942020999248,09,013,00212668,0500000US09013,09013,Tolland,Tolland County,CT,Connecticut,06,1062807467,17549693
-85.3262365690962,34.8033789382213,13,295,00354216,0500000US13295,13295,Walker,Walker County,GA,Georgia,06,1156145202,1672676
-101.792996880914,37.9703025393599,20,075,00485327,0500000US20075,20075,Hamilton,Hamilton County,KS,Kansas,06,2580958328,2893322
-85.6651551569737,45.0024835125239,26,089,01622987,0500000US26089,26089,Leelanau,Leelanau County,MI,Michigan,06,899241892,5659105321
-88.2283375221689,34.6816901038705,28,141,00695791,0500000US28141,28141,Tishomingo,Tishomingo County,MS,Mississippi,06,1098925142,52373918
-97.8284080011863,34.0598945817769,40,067,01101821,0500000US40067,40067,Jefferson,Jefferson County,OK,Oklahoma,06,1965685986,39417590
